test_index,method,truth,estimate,sd,q05,q95,covers90,width90
0,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[372.13077293682335,69.53896534216135,144.2298596234732]","[45.349820219167896,24.55622951526887,18.340119587562594]","[302.0994133831691,31.813661163025245,120.36712821302866]","[452.9419549447903,109.46808318559975,179.1536441976449]","[true,true,false]","[150.8425415616212,77.65442202257451,58.78651598461623]"
1,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[367.25646156564716,43.49002698741074,125.36902858245747]","[44.71812888325229,21.606418860926183,9.827326798999545]","[298.03673383793665,7.465229765460472,114.41985912646373]","[445.2980928965172,78.87907500020617,143.8047086059862]","[true,true,false]","[147.26135905858052,71.4138452347457,29.384849479522472]"
2,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[443.4618962757073,85.62276251110796,241.9830310948914]","[48.48631810992611,36.05844174976863,28.586162519382576]","[362.92228297563895,27.477229796009127,190.5741390784091]","[519.6089844345706,144.1355379031881,287.13522195322895]","[false,true,false]","[156.68670145893168,116.65830810717897,96.56108287481985]"
3,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[245.79315689608217,59.94091799451462,213.73279887337065]","[25.788894689106574,23.127165931672916,27.035942680023528]","[211.47724650007436,24.329863055221153,171.1188176243705]","[290.8290403042307,99.4166123516702,259.9616714656165]","[false,true,true]","[79.35179380415636,75.08674929644904,88.84285384124601]"
4,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[255.31889424328628,78.82811373938793,191.1064458278747]","[29.326140850132578,22.244075641837423,24.919923390118473]","[215.0807759247431,44.28688227541798,153.52413839382297]","[307.11363440948054,116.17915574285402,234.56286476017578]","[false,true,true]","[92.03285848473743,71.89227346743604,81.03872636635282]"
5,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[331.3403659727153,101.21094912706005,225.13858630547463]","[43.662641495569666,28.85664514217909,29.216582498407686]","[265.1023000029257,56.22540056701107,176.2222867736905]","[408.5728400563479,150.91829228936245,272.66240215579603]","[true,true,true]","[143.4705400534222,94.69289172235139,96.44011538210552]"
6,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[323.6891594676793,76.40147901763319,183.3145404122944]","[42.10115083436557,26.580059094100584,25.839756469246627]","[260.99063302326687,36.115939317285694,146.20190143360017]","[401.687488874888,121.16445005652594,228.83879254883718]","[true,true,true]","[140.69685585162114,85.04851073924024,82.636891115237]"
7,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[318.99242770490923,36.088505817335275,212.84816993160192]","[46.550538783175284,29.158067718712076,29.51425273440402]","[251.7969402082103,-7.714494809096176,166.21832320774124]","[405.7654165441787,85.61678013120485,263.14664771233817]","[true,true,true]","[153.96847633596843,93.33127494030103,96.92832450459693]"
8,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[411.96264443294615,11.65883903213526,186.41312882872893]","[50.36588266491119,27.896656114177166,29.55007177988241]","[330.2530950210841,-31.393744144909128,143.6917086955283]","[494.9115573179676,58.88356831741272,238.1928546103052]","[true,false,true]","[164.6584622968835,90.27731246232185,94.50114591477691]"
9,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[349.0121420206555,31.822399182706164,143.91540804913947]","[46.31680705348444,23.999881743629867,18.69022967347244]","[279.26400916799963,-4.616368384266392,120.7155243232801]","[432.36719945653954,71.42068295057327,179.69288807960285]","[true,true,false]","[153.1031902885399,76.03705133483966,58.977363756322745]"
10,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[332.94214455099984,87.25320335491978,183.0123148114376]","[43.060451641993986,26.77290880781737,25.654207582349393]","[268.2511044428532,45.873647810097324,145.12936296162113]","[411.4687606929188,132.66504196766365,228.54850446342272]","[true,true,true]","[143.2176562500656,86.79139415756633,83.41914150180159]"
11,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[339.9750904963892,96.09808571053618,163.89654974804102]","[42.3386420679628,24.722270368216392,21.966865266872894]","[274.6992651614713,58.100125301943045,133.41819185329788]","[415.5998329853808,138.6600740947954,203.36969855288334]","[true,true,true]","[140.90056782390946,80.55994879285234,69.95150669958545]"
12,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[399.62236087150325,77.24986540066502,234.94210702480777]","[52.09505495411601,34.68891075348574,29.884048778459157]","[317.630295729513,21.816434976222375,182.27697499702452]","[488.24545409575546,135.963988479274,281.87563506156397]","[true,true,true]","[170.61515836624244,114.14755350305163,99.59866006453944]"
13,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[306.80999527862093,65.9085791279932,148.0950270416692]","[39.49871358976598,22.51580241569041,18.516284761702927]","[249.58176976538616,31.329528012835613,123.98278544875811]","[379.62103495167986,104.23797844330664,182.27012694020374]","[true,true,false]","[130.0392651862937,72.90845043047104,58.28734149144563]"
14,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[276.41997855225077,67.50763981512262,162.5115056283641]","[35.258533875914026,22.157335962867496,19.96322758238559]","[226.10349213403822,34.438919633759035,134.09555457008634]","[340.17421470514006,104.49691205416464,197.88454122441303]","[true,true,true]","[114.07072257110184,70.05799242040561,63.78898665432669]"
15,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[338.6931084102639,62.401227809953355,200.75025002932267]","[45.557083154836036,29.182380027764882,28.77583266218323]","[268.21106985642217,17.721563443894762,157.09868329887166]","[420.9760516704187,112.26913747237121,250.12451339012966]","[true,true,true]","[152.76498181399654,94.54757402847645,93.025830091258]"
16,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[341.32995034517796,80.07955588046738,247.3152556701004]","[47.61009451054876,32.049603195402916,28.39370540548051]","[266.8030451403223,29.668709169062144,194.43726404630178]","[426.3616209454518,135.40679646791628,289.4283870741616]","[true,true,false]","[159.55857580512952,105.73808729885414,94.99112302785983]"
17,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[358.6039905010817,93.67200197041299,181.81812379221998]","[45.117741066634075,27.175584596937505,25.52553570954778]","[288.645214656877,50.8996710648463,143.52530406150763]","[437.4813509149688,139.84908274728411,226.8846127458854]","[true,true,true]","[148.8361362580918,88.94941168243781,83.35930868437777]"
18,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[280.83037437052457,65.0140926846546,217.43875196341193]","[36.87978989659962,26.668466263766174,27.940992536822765]","[228.52452482571462,24.952792727355526,172.65981017921354]","[349.11412494634175,110.09002614892212,264.55975438501434]","[true,true,true]","[120.58960012062713,85.13723342156659,91.89994420580081]"
19,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[337.97784304046183,42.99024571852297,162.23717171937926]","[45.75508855147093,25.87255076743411,22.63517765952785]","[271.6769381631607,4.373856791961466,132.75863690409983]","[423.0079416256354,85.06704345313109,204.35665305838512]","[true,true,true]","[151.3310034624747,80.69318666116962,71.59801615428529]"
20,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[412.19999571767516,100.22237455617679,217.07768997510848]","[49.06038794369036,32.11747651844571,29.291316990972202]","[334.9934404477225,50.37827587048825,168.6488505269776]","[494.3381441858701,156.1490921135569,265.12783555705875]","[false,true,true]","[159.3447037381476,105.77081624306864,96.47898503008113]"
21,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[319.8479118009442,50.822402624879956,176.9602530805119]","[43.88935778763168,26.56767348508203,25.105292672617985]","[257.3456453106608,11.616687997737081,142.49061030268666]","[402.4238417421875,95.5705387808622,223.6344702759764]","[true,true,true]","[145.0781964315267,83.95385078312512,81.14385997328975]"
22,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[315.48316114685457,47.92245646739464,175.47413785837608]","[43.27386421652812,26.220228322459644,24.920539893779747]","[253.8610579008233,7.758125352185285,141.67284613557976]","[396.63909857028443,92.09962079333475,220.14977938045536]","[true,true,true]","[142.77804066946112,84.34149544114946,78.4769332448756]"
23,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[369.54588682297526,27.94884489659506,170.17255110552247]","[49.57188907106781,26.56071223038407,25.15244352603989]","[292.430165609045,-13.17700393266693,136.25683324756625]","[455.48584139533983,71.3400304576041,216.32699177802942]","[true,true,true]","[163.05567578629484,84.51703439027104,80.07015853046317]"
24,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[328.6719458033384,70.30824321601285,184.14313996755817]","[43.495231320817574,26.69113361175532,25.952254876847963]","[264.84329374447054,28.643354727508918,146.29699209019515]","[407.90530303500526,114.8477269292317,230.87596759319052]","[true,true,true]","[143.06200929053472,86.20437220172278,84.57897550299538]"
25,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[310.12605086328085,100.94618854546727,222.88236886971308]","[40.4908265991548,27.254803356645734,28.680998473135766]","[248.25616595160145,57.45818328702597,175.74649113889285]","[382.1373497559407,147.3181646851027,270.2592067150937]","[true,true,true]","[133.88118380433926,89.85998139807671,94.51271557620083]"
