test_index,method,truth,estimate,sd,q05,q95,covers90,width90
0,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[485.73673517870446,188.18108546373648,246.1406168005927]","[32.83289667071818,25.310893110928173,27.712315881179496]","[427.92791206277616,144.60454540479708,196.31312680615943]","[533.2444755697875,229.23785311063358,288.9482188473515]","[true,true,true]","[105.31656350701132,84.6333077058365,92.63509204119205]"
1,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[386.7070865516765,152.912059723781,223.51239096108029]","[46.22895604602333,27.99770159303488,27.614463674521964]","[313.8356343551057,107.54935506867082,177.10256858127713]","[464.62066384367887,199.29455299052552,268.93556452010483]","[false,true,true]","[150.78502948857317,91.7451979218547,91.83299593882771]"
2,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[447.87618526321415,192.03722726554685,256.3467392102941]","[43.61499931182782,25.574226751093327,24.126254289239398]","[376.24397524402644,148.46254304888575,213.07275966457345]","[517.9605813136332,231.74001891726812,292.2026015623258]","[true,true,true]","[141.7166060696067,83.27747586838237,79.12984189775236]"
3,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[459.96459727008465,161.05652124463214,232.1628243212556]","[43.40062158851688,30.91910221339438,28.60651588548952]","[385.3607628275024,111.19493989669516,183.3278644245627]","[525.9138674465588,213.33465029971777,277.51955746710564]","[true,true,true]","[140.5531046190564,102.1397104030226,94.19169304254294]"
4,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[491.8215473397882,197.75062578066414,216.29441900218487]","[30.393257095971137,17.550902061875572,21.786125350713146]","[438.01508417854035,167.43358284248367,178.1442698213718]","[536.0044868705046,225.28888648361973,250.3544135461909]","[true,true,false]","[97.98940269196424,57.85530364113606,72.21014372481909]"
5,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[411.55890235665925,163.4224530393082,213.33155295662624]","[46.4768138112646,26.46035488782889,26.16021150649629]","[336.82489045646895,120.20963947771082,170.660625403273]","[489.5345589995599,207.53534868298559,257.23000301521387]","[true,true,false]","[152.70966854309097,87.32570920527476,86.56937761194087]"
6,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[454.580794865779,130.6437641620935,272.72066201930835]","[45.69319675040922,32.49975307931934,18.402960790206272]","[378.38597540047,77.94100692933729,237.6412296714368]","[526.0866649369649,185.70461305421426,296.94261386462483]","[true,false,true]","[147.7006895364949,107.76360612487697,59.30138419318803]"
7,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[490.97105661965264,162.8015029132782,223.13356964149511]","[30.665074947783914,26.316698222890526,27.583701716985566]","[435.38797253404636,119.68540005273627,175.6781320207559]","[534.6610772956321,206.9727758018696,267.34558501153253]","[true,true,true]","[99.27310476158578,87.28737574913333,91.66745299077664]"
8,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[441.846297551761,198.06004524846333,252.7196745181712]","[43.13309089349999,22.15393775837641,23.330288959695704]","[369.99350779033233,159.98895413918092,211.3734966148334]","[515.548317132737,233.19629642244536,288.4567505060716]","[true,true,true]","[145.55480934240467,73.20734228326444,77.0832538912382]"
9,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[467.71541392599687,185.652703194719,229.40059834096803]","[39.96351233361253,24.780395769716776,26.76853711860829]","[397.80732517479345,144.81915670226633,184.98015111262708]","[527.895532107762,226.33319723834455,273.06739542130634]","[true,true,true]","[130.0882069329686,81.51404053607823,88.08724430867926]"
10,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[461.41170092789514,188.05395253411288,245.41185338864946]","[41.30663571373924,26.884524923385843,27.008256650807432]","[389.71684564100286,140.95928865879344,197.59983216308513]","[523.6270083198924,230.51618157403746,287.8102580559224]","[true,true,true]","[133.91016267888955,89.55689291524402,90.21042589283729]"
11,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[436.725677867183,185.81221937456894,250.72565176552297]","[46.28807706261548,26.4834646617913,25.93418620214929]","[360.4751136194635,141.7428933751662,205.6420608859638]","[510.85401034242165,227.57914725506234,290.4844379566788]","[true,true,true]","[150.37889672295813,85.83625387989613,84.842377070715]"
12,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[432.2593944287017,187.97850708608584,271.2396255452977]","[44.7204943394762,25.823154357268525,18.135009815239687]","[359.3353835679647,143.86996591972127,236.53781833970694]","[506.2787911451236,228.62522077964147,296.71139854455146]","[true,true,true]","[146.9434075771589,84.7552548599202,60.17358020484451]"
13,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[457.4315313778057,194.34332969099486,271.56020428227527]","[42.088183017819766,25.761008002653124,18.650689849174608]","[386.56691479622555,149.50654230691597,236.64725189262998]","[522.9226799931002,233.96078433125092,297.19202074876864]","[true,true,true]","[136.3557651968747,84.45424202433495,60.54476885613866]"
14,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[453.8453115170447,164.89565478116356,244.19228727492919]","[44.14402911384257,30.5614458263504,27.433845244643965]","[378.715120329059,114.47448534048087,195.7829646970417]","[522.1002290457769,215.54664689553724,286.67623186955245]","[true,true,true]","[143.38510871671792,101.07216155505637,90.89326717251075]"
15,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[448.49267878971517,210.60495357708498,277.09912132157854]","[40.57112541124186,20.538196535163674,17.04367595108847]","[382.7050309430937,174.76258186011873,244.31522710255913]","[517.4589271155528,242.0829805131516,298.9201639706026]","[true,true,true]","[134.75389617245912,67.32039865303287,54.60493686804344]"
16,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[424.79372681009124,169.0748856821034,272.44372824187144]","[47.49311890113205,29.150217219237728,17.629455631985365]","[347.77904030602315,121.3746806004491,239.66563869328678]","[503.7300838239817,216.13396617798685,296.9747760083332]","[true,true,true]","[155.95104351795857,94.75928557753775,57.30913731504643]"
17,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[467.79176371386677,210.7981624841473,267.5171201250506]","[37.333879267453824,21.111655226783725,21.43968347519774]","[405.0107331832879,173.81416487535378,227.76233766353144]","[527.3545983397515,242.5137507311685,296.75950033459145]","[true,true,true]","[122.34386515646361,68.69958585581472,68.99716267106001]"
18,rough pilot-only NPE,"[471.3471699409359,199.07081839552737,261.99757352745445]","[484.3193782017247,195.99752863545234,252.0685529813576]","[33.71714719581511,24.113558248208243,25.842280664960203]","[425.1367974581266,155.5389557127362,205.44287354162077]","[532.606591473831,234.46206500708993,291.26328375335476]","[true,true,true]","[107.46979401570445,78.92310929435374,85.82041021173399]"
