test_index,method,truth,estimate,sd,q05,q95,covers90,width90
0,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[257.50992951613085,-10.292473778628395,127.47098520966988]","[32.19087041337966,15.654609504039868,10.46987630479116]","[215.61252928660653,-30.724582558607544,114.5416957113745]","[320.605764226365,21.44300843329288,146.32735364611412]","[true,true,true]","[104.99323493975848,52.167590991900425,31.785657934739618]"
1,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[221.46048924137511,-0.02355588821077766,153.56044714255654]","[12.327204855145327,16.241349643072596,18.460302117758374]","[205.6168456610412,-26.15712745182845,125.0242435237084]","[244.2513287648431,27.559529717924107,185.79626125037208]","[true,true,true]","[38.6344831038019,53.71665716975256,60.77201772666368]"
2,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[232.28941393803206,0.7238533866082515,138.08426588111595]","[20.233396606333,16.76210283297407,14.790188813739965]","[207.19621517918003,-24.886374856656275,117.46822353550127]","[266.79298037576916,31.44835703808772,164.843209698736]","[true,true,true]","[59.59676519658913,56.334731894743996,47.37498616323472]"
3,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[249.7774898134684,-16.780077733892494,142.76000668107008]","[30.992578241765933,13.571246523903799,17.158975353239757]","[210.4839245897519,-34.786641579740596,118.95102870232111]","[309.21886247877103,8.676979783267448,174.22492149684015]","[true,true,true]","[98.73493788901914,43.463621363008045,55.27389279451904]"
4,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[274.2313481824838,-14.010908763259627,138.6151145685561]","[40.57913142989756,15.91501002635921,15.92172191689144]","[221.60550686235928,-35.04445550684987,117.72528392826713]","[353.44716335671365,16.201892923519626,168.56039199327387]","[true,true,true]","[131.84165649435437,51.246348430369494,50.835108065006736]"
5,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[253.68314552853502,-15.261429255846053,137.2264368532325]","[33.42822744528817,14.464499668823315,15.126507889316605]","[211.90487631534825,-33.784101658008524,117.20786403733476]","[317.26633538270147,13.028675821281201,166.1360159370672]","[true,true,true]","[105.36145906735322,46.81277747928972,48.928151899732455]"
6,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[276.764892697798,-8.14443927642547,126.88253079164275]","[38.57483434171511,17.0592548188343,10.52752152113523]","[224.3073816980305,-30.813317607546118,114.45574387105145]","[349.72105044974376,25.70541160910436,145.70735327232362]","[true,true,true]","[125.41366875171326,56.51872921665048,31.251609401272162]"
7,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[228.02361733185597,-2.365271906765769,150.40005432088006]","[17.013753958121775,16.786883097356856,18.305621947007563]","[206.51316973527582,-27.976639277279023,123.4127436384409]","[256.8451624471576,26.83602835949255,182.54852319794293]","[true,true,true]","[50.33199271188175,54.81266763677157,59.135779559502026]"
8,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[236.29286957171337,-24.047648786552344,141.54639945127283]","[23.468974269418517,8.310372483437629,14.828735251413207]","[207.26949281234454,-35.56378151016178,118.9764212374338]","[275.9512988437885,-9.67796716512194,167.1699442579264]","[true,true,true]","[68.68180603144395,25.88581434503984,48.193523020492606]"
9,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[288.4795062933221,-25.64188095101592,131.61055791908382]","[43.80182857888497,9.91849271149965,12.785411905073747]","[230.82849905874468,-38.52864174937873,115.34555922992521]","[375.6634328041372,-7.525090825257991,155.10068565363346]","[true,true,true]","[144.8349337453925,31.003550924120738,39.75512642370825]"
10,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[243.16657927024417,-13.51212723178132,139.20418554455892]","[27.459336533403267,14.756699949432091,15.689810572795437]","[209.55757483310873,-33.335547159879326,117.5915052495785]","[290.3099365167012,14.959217447009713,168.48624458536955]","[true,true,true]","[80.75236168359248,48.29476460688904,50.894739335791044]"
11,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[235.50754482350195,14.020797648305326,143.83061016098756]","[22.318512327109442,18.64863694203239,16.498511366480173]","[207.34052155413397,-14.080189518499578,120.02577759828658]","[272.89537661581966,48.7197184577255,172.68330425300934]","[true,true,true]","[65.55485506168569,62.79990797622508,52.65752665472276]"
12,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[248.03575010198912,-12.021302902986069,139.874550262006]","[30.18570069246287,15.995652271173283,16.06459960632202]","[210.2601988176266,-32.84614748543381,117.997865988595]","[301.7574986030826,19.70303983340737,170.35932899969876]","[true,true,true]","[91.497299785456,52.54918731884118,52.361463011103766]"
13,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[234.10118753680834,0.6161054456513335,131.7683256049764]","[20.635236721722624,15.812064853562296,12.422024076971562]","[207.9370716519471,-22.80936790550699,115.64522135452728]","[267.20248324305066,30.27966265924409,154.89922365117386]","[true,true,true]","[59.26541159110357,53.08903056475108,39.254002296646576]"
14,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[240.26165706079178,11.463606671141672,152.83272448388865]","[25.25080499126115,19.332117135026497,18.917316243976078]","[209.04584702427715,-17.023135635290508,125.45611299699335]","[282.6895580326644,48.23785937168959,186.8727152725015]","[true,true,true]","[73.64371100838727,65.2609950069801,61.41660227550814]"
15,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[258.24729820583036,-12.126442087313588,129.72990764537602]","[33.31240712324164,14.217228737837814,12.256058573114203]","[215.11412656895322,-31.656050840961722,114.73065202798792]","[321.36254830685743,13.846432978782266,153.01119607383006]","[true,true,true]","[106.24842173790421,45.502483819743986,38.28054404584215]"
16,rough pilot-only NPE,"[234.0640775763408,-10.052372427314284,130.1041446427431]","[272.076526027671,-13.591717061975874,127.16520172911473]","[38.091144782593595,14.623585935804748,10.488904693436465]","[221.49681960199408,-32.9267397575778,114.47456685521682]","[345.0783693275373,15.028499798405582,146.55492357722653]","[true,true,true]","[123.58154972554323,47.95523955598338,32.08035672200971]"
