truth_label,test_index,method,truth_u,truth_covariance,u_posterior_mean,covariance_posterior_mean,covariance_error,covariance_posterior_sd,covariance_q05,covariance_q95,covariance_covers90,extremal_ise
low,0,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4923149769741412,0.5009665665502945,0.4995059830786295]","[337.2096596270748,67.23823971848087,189.83419710808843]","[103.14558205073402,77.29061214579515,59.730052465345324]","[77.08039896258292,53.73075737905862,43.78109483113858]","[224.95931511150783,-23.668437647520822,125.82499231045297]","[481.1768375137031,153.2197932512812,271.43762120713905]","[true,true,true]",0.0033749866887051866
low,1,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5002482718188911,0.4991289609423643,0.5007428804815823]","[341.2105040306417,68.07684660970794,189.30720143349046]","[107.1464264543009,78.12921903702222,59.203056790747354]","[78.83793622998427,52.95757134512093,43.63746360474876]","[226.3060915439054,-21.19829947173161,126.88517901429444]","[489.1312440531119,152.59095371717092,272.12249391972944]","[true,true,true]",0.0034585647727086847
low,2,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5200608449313486,0.48229571480491124,0.5193996274776888]","[350.54851564647595,74.25113588975034,185.05408800036972]","[116.48443807013516,84.30350831706463,54.94994335762661]","[79.26488791354514,53.072161899313656,43.55763844980631]","[231.37968138506923,-16.633176268867288,124.312790905098]","[492.96570222828194,156.88490284346366,267.26011501264236]","[true,true,true]",0.003571277467417157
low,3,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.49778766866610485,0.4964763996759786,0.48940503688703657]","[339.72648045507987,64.33571471797573,188.7868801265122]","[105.66240287873907,74.38808714529002,58.68273548376908]","[77.47339282510033,52.726898286234885,44.171727479553724]","[228.601644571915,-24.63024354163411,124.48440152628183]","[483.9842858816527,148.7890190412435,271.19518765188263]","[true,true,true]",0.0033479680561335798
low,4,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5045550367618619,0.5110262796595502,0.5184672672421672]","[343.163639873993,74.42651465498149,192.40526131364916]","[109.09956229765223,84.47888708229577,62.301116670906055]","[78.66167333376197,53.33413665357069,43.86844580118837]","[227.11585494283557,-17.322815525478767,128.21053017669385]","[487.96094435723074,158.9900173684217,274.3672104044306]","[true,true,true]",0.00373411218453696
low,5,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5138613503293185,0.5257001090083818,0.5185997323837123]","[347.72935009793395,75.91135795984977,196.44344945619557]","[113.66527252159315,85.96373038716405,66.33930481345246]","[79.73954313007627,54.032274354587734,44.57612370686722]","[228.19663211302498,-16.878145168148386,128.99052795833396]","[496.02837788760166,161.7322029055514,277.73715351940973]","[true,true,true]",0.004013449074305303
low,6,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4941506401380925,0.5098243672068938,0.47739172452322226]","[338.2344517964957,60.91323786636642,191.92825606847933]","[104.17037422015491,70.96561029368071,61.82411142573622]","[77.99346173687816,53.389299699973186,42.92901608594413]","[225.5271739346523,-26.79466371262227,127.82593252951192]","[484.2927743721977,147.42653802652995,271.56181813969005]","[true,true,true]",0.0034150862701805757
low,7,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5201162763244792,0.5047948727338819,0.49631390074769]","[350.6884936236192,67.89709317083644,190.70915004623427]","[116.6244160472784,77.94946559815072,60.60500540349116]","[79.88216463079533,54.08009009280824,43.33915341575638]","[231.80215699637353,-23.466245075120558,127.33581968309497]","[495.92248097851785,155.51649377069262,270.35105863921007]","[true,true,true]",0.0037056318918060193
low,8,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.4752224091235951,0.5179058708791714,0.5040861519005048]","[329.03039567394364,68.65151913028392,194.27314156813475]","[94.96631809760285,78.7038915575982,64.16899692539164]","[74.81824439937618,53.186177848609105,44.02514130015336]","[222.77331390064066,-21.189109208840033,128.6046483066639]","[471.52657315092534,152.38444834862568,273.3944603125248]","[true,true,true]",0.0034467393524307004
low,9,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5019841199948347,0.4911017287052948,0.49618565658254027]","[341.8624662728529,66.42381630084375,187.19658596937694]","[107.79838869651209,76.47618872815804,57.09244132663383]","[78.12675317003621,53.487095866671766,43.156767312670304]","[226.99158866926237,-22.47363003213833,124.68137683074376]","[484.7509563469153,153.46954870163333,268.0202422991163]","[true,true,true]",0.0033511027757701967
low,10,Raw-data NPE,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.5038977346041652,0.5015171334090059,0.5092450306329431]","[342.8786745200492,71.16863471494592,189.91831063741947]","[108.81459694370838,81.2210071422602,59.81416599467636]","[79.02777199147755,53.560971694969595,43.55907184432161]","[229.42687533077486,-20.542420996398484,126.80618442581249]","[490.39475208206557,157.95414649784237,271.6758417955245]","[true,true,true]",0.003558408319168331
