test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
0,ours linear full-dataset score + shared NPE,"[0.23571017384529114, 0.7227785587310791, 0.3394724428653717]","[0.2021069404556076, 0.7007163642215724, 0.33053593663662706]","[0.033912012515555465, 0.05508833949763583, 0.03364080686982232]","[0.15573824256658556, 0.6048042532801627, 0.2785386259853839]","[0.2628992545604706, 0.7843523693084717, 0.38678661420941357]","[-0.033603233389683546, -0.02206219450950675, -0.008936506228744645]","[true, true, true]","[0.10716101199388503, 0.179548116028309, 0.10824798822402965]",3.641036149482851e-07,3.641036148276416e-07,True,False,False
1,ours linear full-dataset score + shared NPE,"[0.8148173689842224, 0.49435463547706604, 0.746717631816864]","[0.7842697360837455, 0.48216007827013635, 0.657315389741659]","[0.037589415397574245, 0.044035971464436864, 0.03060231173591894]","[0.7166590017080307, 0.41066893443465236, 0.6080208593606948]","[0.8401557576656342, 0.5559217926859856, 0.7077232810854912]","[-0.030547632900476906, -0.01219455720692969, -0.08940224207520497]","[true, true, false]","[0.12349675595760357, 0.14525285825133327, 0.09970242172479638]",4.896358208886865e-13,4.896416373908925e-13,True,False,False
2,ours linear full-dataset score + shared NPE,"[0.48472559452056885, 0.48303472995758057, 0.5538932681083679]","[0.5691298850792665, 0.5445677743703121, 0.5784943710726497]","[0.042543240708600556, 0.04524071407373285, 0.030628777063878915]","[0.5019282400608063, 0.4708221240341663, 0.5280332851409912]","[0.638814154267311, 0.6227283200621605, 0.6292821583151817]","[0.08440429055869769, 0.06153304441273155, 0.02460110296428175]","[false, true, true]","[0.13688591420650476, 0.1519061960279942, 0.10124887317419051]",3.6118454225214644e-13,3.6119284480629397e-13,True,False,False
3,ours linear full-dataset score + shared NPE,"[0.2318485826253891, 0.8389635682106018, 0.15408998727798462]","[0.26319479486479397, 0.7703911567032332, 0.2114237774221187]","[0.043129191977889905, 0.043824790407560855, 0.02955501801882293]","[0.19227114686742425, 0.693450399339199, 0.1636900411080569]","[0.3351050731539726, 0.8373578861355782, 0.2629267293214798]","[0.03134621223940487, -0.06857241150736859, 0.05733379014413409]","[true, false, false]","[0.14283392628654834, 0.1439074867963791, 0.09923668821342291]",1.9521039899639,0.04273635662665365,False,True,False
4,ours linear full-dataset score + shared NPE,"[0.31533244252204895, 0.3283495306968689, 0.8146288990974426]","[0.29897378899787097, 0.3285524982193933, 0.8033735299503785]","[0.04467291296890497, 0.0446416402784233, 0.02651371290571555]","[0.22637800369411706, 0.25314202293753624, 0.7569497039914131]","[0.37390017628669736, 0.4006708887219429, 0.8424908474087714]","[-0.01635865352417798, 0.00020296752252441097, -0.011255369147064154]","[true, true, true]","[0.1475221725925803, 0.14752886578440666, 0.0855411434173583]",3.8303756400574696e-13,3.829880676267473e-13,True,False,False
5,ours linear full-dataset score + shared NPE,"[0.6600962281227112, 0.8000446557998657, 0.6186142563819885]","[0.6427829295200091, 0.7461901970046743, 0.6316434413355572]","[0.05089750657789109, 0.05738347451299514, 0.03772705538007099]","[0.5596369728446007, 0.6465229797363281, 0.5695845824480057]","[0.7252683129906654, 0.8330895245075225, 0.692100919187069]","[-0.017313298602702032, -0.05385445879519146, 0.01302918495356864]","[true, true, true]","[0.16563134014606473, 0.1865665447711944, 0.12251633673906326]",3.2185363369833865e-06,3.218536337167143e-06,True,False,False
6,ours linear full-dataset score + shared NPE,"[0.46280938386917114, 0.4872100055217743, 0.1580013483762741]","[0.49231162080168833, 0.5047307882666592, 0.22339737650739958]","[0.045734525395260954, 0.05011220586282682, 0.03934997955576719]","[0.4164342407882214, 0.4230159272253513, 0.16394114702008664]","[0.5675367864966393, 0.5879098787903786, 0.29202160939574245]","[0.02950223693251719, 0.01752078274488489, 0.06539602813112547]","[true, true, false]","[0.1511025457084179, 0.16489395156502729, 0.12808046237565582]",1.5273951598625817,1.358385117817852,False,True,False
7,ours linear full-dataset score + shared NPE,"[0.7298365831375122, 0.6957509517669678, 0.6536353230476379]","[0.7556365278577826, 0.642669049597979, 0.6377345405513045]","[0.05645552699109891, 0.054870624421484146, 0.03369837472813216]","[0.6454245546460151, 0.5529062697291374, 0.5825931286811828]","[0.8310854920744896, 0.7315255427360534, 0.6926251342892646]","[0.025799944720270362, -0.05308190216898878, -0.01590078249633342]","[true, true, true]","[0.18566093742847445, 0.17861927300691605, 0.1100320056080818]",3.770944123472132,2.021044690242116,False,True,False
8,ours linear full-dataset score + shared NPE,"[0.7983274459838867, 0.5480384826660156, 0.752345621585846]","[0.7673320747637764, 0.5517682133579255, 0.7399593478071691]","[0.050629077767255705, 0.056041813720523234, 0.04182097241197351]","[0.6755366069078446, 0.4585430431365967, 0.6687948596477509]","[0.837470426261425, 0.6409507602453232, 0.8053703007102013]","[-0.030995371220110313, 0.0037297306919098494, -0.012386273778676848]","[true, true, true]","[0.16193381935358042, 0.18240771710872644, 0.13657544106245045]",7.65198484925133e-09,7.651984685721104e-09,True,False,False
9,ours linear full-dataset score + shared NPE,"[0.2925172746181488, 0.7851197719573975, 0.4973985254764557]","[0.34998637946538735, 0.7520228220844287, 0.4396337937468298]","[0.04462462017266558, 0.05006266917340041, 0.0316417900635855]","[0.27754941828548907, 0.6642112642526626, 0.38761665552854535]","[0.42211521193385126, 0.8291646057367325, 0.49175804212689395]","[0.05746910484723855, -0.03309694987296874, -0.05776473172962587]","[true, true, false]","[0.1445657936483622, 0.16495334148406982, 0.1041413865983486]",8.062743023412943e-13,8.06329922890531e-13,True,False,False
