test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
0,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.23571017384529114, 0.7227785587310791, 0.3394724428653717]","[0.2067949355666679, 0.7122442403131714, 0.29732667715623873]","[0.035259080869119164, 0.04765166586663879, 0.030452225695830608]","[0.15727572583127766, 0.6295806694030762, 0.2494156187027693]","[0.27038224823772905, 0.7843156278133393, 0.3486954605579376]","[-0.028915238278623245, -0.010534318417907751, -0.042145765709132976]","[true, true, true]","[0.11310652240645139, 0.15473495841026308, 0.0992798418551683]",3.641036149482851e-07,3.641036148276416e-07,True,False,False
1,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.8148173689842224, 0.49435463547706604, 0.746717631816864]","[0.7792906905704732, 0.4867615907120705, 0.6889185207611319]","[0.04557805408783598, 0.044128941747029846, 0.029996550896648027]","[0.7008440077304839, 0.4139660674333573, 0.6409689640998839]","[0.8392211589217186, 0.5596706393361092, 0.7379778182506561]","[-0.035526678413749235, -0.00759304476499556, -0.0577991110557321]","[true, true, false]","[0.13837715119123462, 0.14570457190275188, 0.0970088541507722]",4.896358208886865e-13,4.896416373908925e-13,True,False,False
2,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.48472559452056885, 0.48303472995758057, 0.5538932681083679]","[0.5669201200461382, 0.5257196829619998, 0.5743712885624171]","[0.043539798555229346, 0.04137172389686001, 0.02944543720507357]","[0.49372655346989636, 0.45795258507132525, 0.5278866592049598]","[0.6364682102203368, 0.5951669144630433, 0.6236050674319267]","[0.08219452552556938, 0.04268495300441921, 0.02047802045404923]","[false, true, true]","[0.14274165675044048, 0.13721432939171802, 0.09571840822696687]",3.6118454225214644e-13,3.6119284480629397e-13,True,False,False
3,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.2318485826253891, 0.8389635682106018, 0.15408998727798462]","[0.2630330583950835, 0.7904831956434236, 0.21293662677697028]","[0.04534860806269796, 0.03966136901570613, 0.032530028246844964]","[0.18936636263504622, 0.7172585335373878, 0.1634162271860987]","[0.34021328315138816, 0.8437622612714767, 0.2701472253352404]","[0.03118447576969441, -0.04848037256717819, 0.058846639498985664]","[true, true, false]","[0.15084692051634194, 0.1265037277340889, 0.10673099814914169]",1.9521039899639,0.04273635662665365,False,True,False
4,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.31533244252204895, 0.3283495306968689, 0.8146288990974426]","[0.2883360240983634, 0.32040986727354936, 0.7998250321280961]","[0.04670944274962105, 0.045451496335001534, 0.02807600934494744]","[0.2117301746457815, 0.24400235071778298, 0.7493963497877121]","[0.36444396123290057, 0.3942340372502804, 0.8410123944282532]","[-0.026996418423685553, -0.007939663423319532, -0.014803866969346546]","[true, true, true]","[0.15271378658711907, 0.1502316865324974, 0.09161604464054107]",3.8303756400574696e-13,3.829880676267473e-13,True,False,False
5,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.6600962281227112, 0.8000446557998657, 0.6186142563819885]","[0.6641441513305905, 0.7686160679197327, 0.6317896248257147]","[0.05219283420657584, 0.05173645190902068, 0.035091339788460144]","[0.5723774972558021, 0.6681547310948371, 0.5730276039242744]","[0.7440361031889916, 0.8371812278032302, 0.6880240777134895]","[0.004047923207879278, -0.03142858788013303, 0.013175368443726132]","[true, true, true]","[0.1716586059331895, 0.1690264967083931, 0.11499647378921507]",3.2185363369833865e-06,3.218536337167143e-06,True,False,False
6,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.46280938386917114, 0.4872100055217743, 0.1580013483762741]","[0.45724885806679877, 0.4720601429611426, 0.22353350576417752]","[0.04127414645309881, 0.04578569458890253, 0.03747381472366548]","[0.3877522675693035, 0.4006663972139359, 0.16664861802011727]","[0.5242193460464477, 0.5514314696192743, 0.2891082625091076]","[-0.005560525802372374, -0.015149862560631666, 0.06553215738790341]","[true, true, false]","[0.13646707847714423, 0.15076507240533837, 0.12245964448899033]",1.5273951598625817,1.358385117817852,False,True,False
7,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.7298365831375122, 0.6957509517669678, 0.6536353230476379]","[0.7603742735183247, 0.6525951565438504, 0.630289190951584]","[0.05055968371982338, 0.049297560272044065, 0.03314782511883189]","[0.6730984127521515, 0.5717528063058852, 0.575269141793251]","[0.8324265357851981, 0.7283555394411088, 0.6847141242027283]","[0.030537690380812443, -0.04315579522311741, -0.023346132096053962]","[true, true, true]","[0.15932812303304655, 0.15660273313522355, 0.10944498240947731]",3.770944123472132,2.021044690242116,False,True,False
8,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.7983274459838867, 0.5480384826660156, 0.752345621585846]","[0.7722112668192392, 0.5717504662823671, 0.7499913212072837]","[0.04712545093242551, 0.049255905222129186, 0.03455769592569766]","[0.6897234824299813, 0.487224705517292, 0.6907070705294609]","[0.8382480558753013, 0.6520970371365548, 0.802567124068737]","[-0.02611617916464748, 0.023711983616351517, -0.002354300378562213]","[true, true, true]","[0.14852457344532, 0.16487233161926274, 0.11186005353927608]",7.65198484925133e-09,7.651984685721104e-09,True,False,False
9,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.2925172746181488, 0.7851197719573975, 0.4973985254764557]","[0.37088391364544593, 0.7714963313555699, 0.43546788425922295]","[0.03967844560671596, 0.0412669423522058, 0.027984252731121973]","[0.3064262015372515, 0.6973589646816254, 0.38982974648475643]","[0.4356547084450722, 0.8340005829930305, 0.4813902345299721]","[0.07836663902729712, -0.013623440601827519, -0.06193064121723274]","[false, true, false]","[0.12922850690782073, 0.1366416183114051, 0.09156048804521566]",8.062743023412943e-13,8.06329922890531e-13,True,False,False
