pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,-1.8902153594481368,interior,nan,0.17250758026908222,0.08743421451870233,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.010507804012622333,0.0,0.0,1.0
0.07,100,direct amortized raw-FSM pilot+score NPE,-1.8902153594481368,interior,-0.410841166973114,0.1948164850473404,0.09975418448448181,0.08743421451870233,0.0678426269441843,0.17478322237730026,0.38663488179445266,0.015579154939572947,0.0004976872324053902,0.022375472696086196,1.0
0.07,101,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.14522954840402488,0.07510522726510861,0.07510522726510861,0.05726030505284267,0.12804480500367374,0.2922502832305089,0.005659484953073522,0.0,0.0,1.0
0.07,101,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.4473138451576233,0.1334245204925537,0.07316694408655167,0.07510522726510861,0.06032138150185347,0.11037900298833847,0.281865705549717,0.004022669799710365,0.00013935868399061343,0.012372692565892976,1.0
0.07,102,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.12551989349418655,0.0639481485260212,0.0639481485260212,0.0548938344901601,0.10903789844550989,0.2524664211612317,0.0030824585736058167,0.0,0.0,1.0
0.07,102,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.7456158995628357,0.13015446066856384,0.0698276162147522,0.0639481485260212,0.05976721327751875,0.10845250263810158,0.27305064499378223,0.0036185591383257935,2.1479212893815558e-05,0.005048992669786144,1.0
0.07,103,exact likelihood grid,-2.194914340303785,interior,nan,0.12430063278354478,0.06755528201287049,0.06755528201287049,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.0029485587206933774,0.0,0.0,1.0
0.07,103,direct amortized raw-FSM pilot+score NPE,-2.194914340303785,interior,-0.10059084743261337,0.17673270404338837,0.09442070871591568,0.06755528201287049,0.06588534265756607,0.1550305262207985,0.36544086635112766,0.01139187011241353,0.0027491220965973158,0.05249914379678828,1.0
0.07,104,exact likelihood grid,-2.7367487840372196,interior,nan,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0036961403676995246,0.0,0.0,1.0
0.07,104,direct amortized raw-FSM pilot+score NPE,-2.7367487840372196,interior,1.4446890354156494,0.15693795680999756,0.08515577763319016,0.0719893627567532,0.06261125020682812,0.13335151970386505,0.3312964722514153,0.007558208334297,0.0006834076025715305,0.026209737581877467,1.0
0.07,105,exact likelihood grid,-1.6757964289625658,interior,nan,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.009101867151919043,0.0,0.0,1.0
0.07,105,direct amortized raw-FSM pilot+score NPE,-1.6757964289625658,interior,-0.015275709331035614,0.21206489205360413,0.10439391434192657,0.0905391005398556,0.0727073322981596,0.1942494586110115,0.4102406412363052,0.02018243355420219,0.002177266267600917,0.04673286100811163,0.0
