pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,direct amortized raw-FSM pilot+score NPE,10,0.013246730229805905,0.0026258947821934655,0.031209322471216133,0.0009740218091123564,0.026045655332068745,0.0921596571803093,0.011161769024970864,0.7
0.07,exact likelihood grid,10,0.009423713058721557,0.002676138829893431,0.0,0.0,0.0,0.08329733409208846,0.0,0.9
0.1,direct amortized raw-FSM pilot+score NPE,10,0.009609320816357816,0.002068092318427755,0.03500669781584958,0.0012254688919702077,0.029183428820149925,0.09628386199474334,0.011386753668353131,1.0
0.1,exact likelihood grid,10,0.007173723136286466,0.002167576291582279,0.0,0.0,0.0,0.08916697805945502,0.0,1.0
0.3,direct amortized raw-FSM pilot+score NPE,10,0.0034612066839679128,0.0011408558602489965,0.024216939227281877,0.0005864601455378638,0.01930228954937188,0.12286465615034103,0.006803152993698487,1.0
0.3,exact likelihood grid,10,0.002501688590581702,0.0011609774919548752,0.0,0.0,0.0,0.12079388778405102,0.0,1.0
0.5,direct amortized raw-FSM pilot+score NPE,10,0.004374076305546826,0.0014177015579919098,0.01848193523468712,0.0003415819300191692,0.014795124458047454,0.11122594103217125,0.004599128802629795,1.0
0.5,exact likelihood grid,10,0.004643761298608042,0.0014570953344299942,0.0,0.0,0.0,0.11106791580243487,0.0,1.0
0.65,direct amortized raw-FSM pilot+score NPE,10,0.020464940729506834,0.007699554473355884,0.026623048024762515,0.0007087866861288112,0.022257244410032465,0.09708105698227883,0.008312220467102628,0.7
0.65,exact likelihood grid,10,0.01701425042698116,0.007401891274415615,0.0,0.0,0.0,0.0894602047529582,0.0,0.8
0.68,direct amortized raw-FSM pilot+score NPE,10,0.024700780954393892,0.007831448636992703,0.025879595837889725,0.0006697534807325192,0.021777599962135543,0.09601949751377106,0.008796044282018725,0.6
0.68,exact likelihood grid,10,0.019986955726206714,0.007433167357673853,0.0,0.0,0.0,0.08791482146953435,0.0,0.7
