pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,-1.8902153594481368,interior,nan,0.17250758026908222,0.08743421451870233,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.010507804012622333,0.0,0.0,1.0
0.07,100,raw-block DeepSets FSM pilot+score NPE,-1.8902153594481368,interior,-0.10450413823127747,0.18081966042518616,0.08990897983312607,0.08743421451870233,0.0640606377273798,0.1661561131477356,0.3536896973848343,0.012280997136753569,6.909067652149681e-05,0.008396085401797943,1.0
0.07,101,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.14522954840402488,0.07510522726510861,0.07510522726510861,0.05726030505284267,0.12804480500367374,0.2922502832305089,0.005659484953073522,0.0,0.0,1.0
0.07,101,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.20702752470970154,0.14048919081687927,0.07187506556510925,0.07510522726510861,0.06060490030795336,0.12260738015174866,0.28314120322465897,0.004968726022018416,2.2470990054008953e-05,0.006007667247801944,1.0
0.07,102,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.12551989349418655,0.0639481485260212,0.0639481485260212,0.0548938344901601,0.10903789844550989,0.2524664211612317,0.0030824585736058167,0.0,0.0,1.0
0.07,102,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.13536518812179565,0.11564836651086807,0.05719566345214844,0.0639481485260212,0.05642077177762985,0.10082219541072845,0.23399878293275836,0.0020837733651105413,9.744704498238472e-05,0.010092247966160707,1.0
0.07,103,exact likelihood grid,-2.194914340303785,interior,nan,0.12430063278354478,0.06755528201287049,0.06755528201287049,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.0029485587206933774,0.0,0.0,1.0
0.07,103,raw-block DeepSets FSM pilot+score NPE,-2.194914340303785,interior,-0.31567707657814026,0.1383289098739624,0.07206114381551743,0.06755528201287049,0.057586174458265305,0.12000955641269684,0.2816791519522667,0.004668839924564076,0.00019679255812553594,0.01409686733967224,1.0
0.07,104,exact likelihood grid,-2.7367487840372196,interior,nan,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0036961403676995246,0.0,0.0,1.0
0.07,104,raw-block DeepSets FSM pilot+score NPE,-2.7367487840372196,interior,0.05858835577964783,0.13637866079807281,0.06953487545251846,0.0719893627567532,0.05890619996935129,0.11862149834632874,0.27716278582811366,0.004406126609345608,3.116731813933136e-05,0.00612992347035316,1.0
0.07,105,exact likelihood grid,-1.6757964289625658,interior,nan,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.009101867151919043,0.0,0.0,1.0
0.07,105,raw-block DeepSets FSM pilot+score NPE,-1.6757964289625658,interior,-0.3568829894065857,0.16817274689674377,0.0864420086145401,0.0905391005398556,0.06092327684164047,0.15203998982906342,0.3373598992824556,0.009637888233252113,7.667586518869432e-06,0.004750468049671978,1.0
0.07,106,exact likelihood grid,-1.4797289849791466,interior,nan,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.0313192701651133,0.0,0.0,0.0
0.07,106,raw-block DeepSets FSM pilot+score NPE,-1.4797289849791466,interior,-0.10392135381698608,0.2261909693479538,0.10541297495365143,0.1182618892341895,0.07803493589162827,0.21263540536165237,0.41867106109857577,0.02439561890585344,0.0004318725339661709,0.02086104702451808,0.0
0.07,107,exact likelihood grid,-2.0556635001861925,interior,nan,0.17749097270913142,0.08436710967497799,0.08436710967497799,0.06652997103570456,0.16331161554408294,0.33708421180636017,0.011554309213955234,0.0,0.0,1.0
0.07,107,raw-block DeepSets FSM pilot+score NPE,-2.0556635001861925,interior,0.17970266938209534,0.20176807045936584,0.09705044329166412,0.08436710967497799,0.07124286554753781,0.18678291887044907,0.39018110930919647,0.0173628243925844,0.0005893774751744375,0.024343801774273918,0.0
0.07,108,exact likelihood grid,-1.419377001621663,interior,nan,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.011866804297618142,0.0,0.0,1.0
0.07,108,raw-block DeepSets FSM pilot+score NPE,-1.419377001621663,interior,-0.4464370608329773,0.18299418687820435,0.09453626722097397,0.09919539889972874,0.06320524588227272,0.16538622230291367,0.36582118570804595,0.012767686268266566,1.647811329984679e-05,0.005916930933098023,1.0
0.07,109,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.13708526761454615,0.074577607492677,0.074577607492677,0.055344223342857254,0.11741462966401364,0.28590915987662574,0.004500433130915273,0.0,0.0,1.0
0.07,109,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.026812642812728882,0.12723620235919952,0.0635702908039093,0.074577607492677,0.058318662084639074,0.11029375344514847,0.2573057040572167,0.0032759828605032366,9.700408640407604e-05,0.010983535728777334,1.0
0.1,100,exact likelihood grid,-1.4940003825547574,interior,nan,0.2153192879320891,0.10131454116951828,0.10131454116951828,0.0748965172398188,0.20151785463089647,0.40313283868764366,0.013298538169164069,0.0,0.0,1.0
