pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,exact likelihood grid,10,0.009423713058721557,0.002676138829893431,0.0,0.0,0.0,0.08329733409208846,0.0,0.9
0.07,raw-block DeepSets FSM pilot+score NPE,10,0.009584846371825197,0.0022745478604355336,0.012487467249951683,0.00015593683831861585,0.011157857493612533,0.08075877130031586,0.006471354938523971,0.8
0.1,exact likelihood grid,10,0.007173723136286466,0.002167576291582279,0.0,0.0,0.0,0.08916697805945502,0.0,1.0
0.1,raw-block DeepSets FSM pilot+score NPE,10,0.007187275466468229,0.0020891099087938098,0.013072973909145389,0.0001709026468291961,0.011303436485605533,0.08724919557571412,0.006554217961476016,1.0
0.3,exact likelihood grid,10,0.002501688590581702,0.0011609774919548752,0.0,0.0,0.0,0.12079388778405102,0.0,1.0
0.3,raw-block DeepSets FSM pilot+score NPE,10,0.003346677213798941,0.0010176164664528018,0.02544296294775173,0.0006473443635606675,0.022948582104956546,0.12011023759841918,0.007574761550456112,1.0
0.5,exact likelihood grid,10,0.004643761298608042,0.0014570953344299942,0.0,0.0,0.0,0.11106791580243487,0.0,1.0
0.5,raw-block DeepSets FSM pilot+score NPE,10,0.004532606331755495,0.00115944863546634,0.025898157095693448,0.0006707145409532169,0.0217058656900055,0.11453246995806694,0.005627760497124976,1.0
0.65,exact likelihood grid,10,0.01701425042698116,0.007401891274415615,0.0,0.0,0.0,0.0894602047529582,0.0,0.8
0.65,raw-block DeepSets FSM pilot+score NPE,10,0.019880893008702043,0.007415601484307389,0.02493861811060664,0.0006219346732666775,0.020479767630814306,0.09742119237780571,0.007960987624847513,0.7
0.68,exact likelihood grid,10,0.019986955726206714,0.007433167357673853,0.0,0.0,0.0,0.08791482146953435,0.0,0.7
0.68,raw-block DeepSets FSM pilot+score NPE,10,0.024091494781045,0.007822180073696809,0.023183181842017262,0.0005374599203200388,0.01797748510956114,0.09552476033568383,0.007609938866149491,0.6
