method,seed,pi_true,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_std,pi_q05,pi_q50,pi_q95,pi_sq_err,pi_coverage90,exact_pi_post_mean,exact_pi_post_std,exact_pi_q05,exact_pi_q50,exact_pi_q95,mean_abs_err_to_exact,mean_sq_err_to_exact,sd_abs_err_to_exact,q05_abs_err_to_exact,q50_abs_err_to_exact,q95_abs_err_to_exact,w1_to_exact,cdf_at_true,exact_cdf_at_true,cdf_at_true_abs_err_to_exact
exact likelihood grid,100,0.07,-1.8902153594481368,0.1312199162423477,interior,nan,0.17250758026908225,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.01050780401262234,1.0,0.17250758026908225,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838599900274827,0.0838599900274827,0.0
pilot-only NPE,100,0.07,-1.8902153594481368,0.1312199162423477,interior,nan,0.2019243836402893,0.10543704777956009,0.0643727395683527,0.1849362701177597,0.40184407085180285,0.01740404299887023,1.0,0.17250758026908225,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.029416803371207056,0.0008653483205802589,0.018002833260857762,0.0020763694810814054,0.029083277864139584,0.06167330133690019,0.029483375541826513,0.0746,0.0838599900274827,0.009259990027482706
linear FSM pilot+score NPE,100,0.07,-1.8902153594481368,0.1312199162423477,interior,-0.2606566250324249,0.17353186011314392,0.09101875126361847,0.06165165845304728,0.15546826273202896,0.3548493400216103,0.010718846058487599,1.0,0.17250758026908225,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.0010242798440616707,1.0491491989510005e-06,0.003584536744916142,0.0006447116342240128,0.0003847295215911595,0.014678570506707622,0.002742586808439315,0.095,0.0838599900274827,0.011140009972517295
radial FSM pilot+score NPE,100,0.07,-1.8902153594481368,0.1312199162423477,interior,-0.3349379301071167,0.17251800000667572,0.08956712484359741,0.06216260604560375,0.15565180778503418,0.34078603833913806,0.010509940325368762,1.0,0.17250758026908225,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,1.0419737593470035e-05,1.0857093151677272e-10,0.002132910324895085,0.00013376404166753897,0.00020118446858594097,0.0006152688242354043,0.0024582117168383583,0.0918,0.0838599900274827,0.0079400099725173
exact likelihood grid,101,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.14522954840402488,0.07510522726510863,0.057260305052842665,0.1280448050036737,0.2922502832305085,0.005659484953073522,1.0,0.14522954840402488,0.07510522726510863,0.057260305052842665,0.1280448050036737,0.2922502832305085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13706826557930793,0.13706826557930793,0.0
pilot-only NPE,101,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.15196380019187927,0.08153821527957916,0.058535040356218815,0.13466695696115494,0.310140261054039,0.006718064541894307,1.0,0.14522954840402488,0.07510522726510863,0.057260305052842665,0.1280448050036737,0.2922502832305085,0.0067342517878543895,4.5350147142220044e-05,0.0064329880144705365,0.0012747353033761497,0.006622151957481226,0.017889977823530523,0.00701610275507759,0.146,0.13706826557930793,0.008931734420692061
linear FSM pilot+score NPE,101,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,0.3988218903541565,0.1484023630619049,0.0777212455868721,0.060167829133570196,0.1305466964840889,0.3020705655217171,0.00614693053369075,1.0,0.14522954840402488,0.07510522726510863,0.057260305052842665,0.1280448050036737,0.2922502832305085,0.0031728146578800243,1.0066752853258335e-05,0.0026160183217634747,0.0029075240807275304,0.002501891480415186,0.009820282291208626,0.003294992710392502,0.1308,0.13706826557930793,0.00626826557930793
radial FSM pilot+score NPE,101,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,0.040041953325271606,0.14950840175151825,0.07765305787324905,0.05950993448495865,0.1312137469649315,0.29781313240528107,0.006321585949080829,1.0,0.14522954840402488,0.07510522726510863,0.057260305052842665,0.1280448050036737,0.2922502832305085,0.0042788533474933665,1.830858596935519e-05,0.002547830608140428,0.002249629432115985,0.0031689419612577763,0.005562849174772566,0.0043594204586501735,0.1344,0.13706826557930793,0.002668265579307938
exact likelihood grid,102,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.12551989349418655,0.06394814852602121,0.0548938344901601,0.1090378984455099,0.2524664211612317,0.0030824585736058167,1.0,0.12551989349418655,0.06394814852602121,0.0548938344901601,0.1090378984455099,0.2524664211612317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1932462867765059,0.1932462867765059,0.0
pilot-only NPE,102,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.15237219631671906,0.08267916738986969,0.0583149803802371,0.1337442323565483,0.3104888483881951,0.006785178726040103,1.0,0.12551989349418655,0.06394814852602121,0.0548938344901601,0.1090378984455099,0.2524664211612317,0.02685230282253251,0.0007210461668729874,0.01873101886384848,0.0034211458900769987,0.02470633391103841,0.058022427226963436,0.026919261142297132,0.1584,0.1932462867765059,0.03484628677650589
