pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,0.17250758026908222,0.08743421451870233,0.08743421451870233,0.06229637008727129,0.15585299225362012,0.34017076951490266,0.010507804012622333,0.0,0.0,1.0
0.07,100,raw data NPE,0.22676675021648407,0.10388591885566711,0.08743421451870233,0.0857569981366396,0.20764268189668655,0.42343795746564866,0.024575813973437506,0.002944057523381036,0.05432572080265525,0.0
0.07,101,exact likelihood grid,0.14522954840402488,0.07510522726510861,0.07510522726510861,0.05726030505284267,0.12804480500367374,0.2922502832305089,0.005659484953073522,0.0,0.0,1.0
0.07,101,raw data NPE,0.16214296221733093,0.08566959947347641,0.07510522726510861,0.06187476664781571,0.13852009922266006,0.3305136963725091,0.008490325486184475,0.0002860635668201319,0.016985909105986335,1.0
0.07,102,exact likelihood grid,0.12551989349418655,0.0639481485260212,0.0639481485260212,0.0548938344901601,0.10903789844550989,0.2524664211612317,0.0030824585736058167,0.0,0.0,1.0
0.07,102,raw data NPE,0.1594805121421814,0.08479183167219162,0.0639481485260212,0.060190667025744916,0.1354086995124817,0.3299919798970223,0.008006762053227071,0.0011533236189545356,0.03403071758223887,1.0
0.07,103,exact likelihood grid,0.12430063278354478,0.06755528201287049,0.06755528201287049,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.0029485587206933774,0.0,0.0,1.0
0.07,103,raw data NPE,0.19714216887950897,0.09763038903474808,0.06755528201287049,0.07352962642908097,0.1749182790517807,0.39167288988828663,0.01616513110738558,0.005305889380819655,0.07290859438814384,0.0
0.07,104,exact likelihood grid,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0036961403676995246,0.0,0.0,1.0
0.07,104,raw data NPE,0.17794394493103027,0.09124069660902023,0.0719893627567532,0.06647387780249119,0.1557757630944252,0.3595952898263931,0.011651895247273295,0.002222938985438535,0.04721579479659677,1.0
0.07,105,exact likelihood grid,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.009101867151919043,0.0,0.0,1.0
0.07,105,raw data NPE,0.21122461557388306,0.09495143592357635,0.0905391005398556,0.08357130587100983,0.19414878636598587,0.39519049376249316,0.019944392043991052,0.0020995557381438624,0.045896967976685854,0.0
0.07,106,exact likelihood grid,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.0313192701651133,0.0,0.0,0.0
0.07,106,raw data NPE,0.21496064960956573,0.1056404784321785,0.1182618892341895,0.07706702500581741,0.19301225244998932,0.4153507351875305,0.021013589935227287,0.00102475936292139,0.031990032388298756,0.0
0.07,107,exact likelihood grid,0.17749097270913142,0.08436710967497799,0.08436710967497799,0.06652997103570456,0.16331161554408294,0.33708421180636017,0.011554309213955234,0.0,0.0,1.0
0.07,107,raw data NPE,0.18977123498916626,0.08685498684644699,0.08436710967497799,0.07804185375571251,0.1720317304134369,0.35987103432416917,0.014345148730830082,0.00015080484166644654,0.012346965844373508,0.0
0.07,108,exact likelihood grid,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.011866804297618142,0.0,0.0,1.0
0.07,108,raw data NPE,0.22257177531719208,0.10229136049747467,0.09919539889972874,0.0852541122585535,0.20339037477970123,0.41981623619794844,0.02327814662343974,0.001904180148308346,0.04375503471709409,0.0
0.07,109,exact likelihood grid,0.13708526761454615,0.074577607492677,0.074577607492677,0.055344223342857254,0.11741462966401364,0.28590915987662574,0.004500433130915273,0.0,0.0,1.0
0.07,109,raw data NPE,0.1453423649072647,0.07392629235982895,0.074577607492677,0.058998055011034015,0.1264631524682045,0.29544671177864074,0.005676471949819432,6.817965570142022e-05,0.008805659827718807,1.0
0.1,100,exact likelihood grid,0.2153192879320891,0.10131454116951828,0.10131454116951828,0.0748965172398188,0.20151785463089647,0.40313283868764366,0.013298538169164069,0.0,0.0,1.0
0.1,100,raw data NPE,0.2539559006690979,0.10930836945772171,0.10131454116951828,0.09789116382598877,0.23851074278354645,0.4539849847555161,0.02370241935083314,0.0014927878437895907,0.038702352548526775,1.0
0.1,101,exact likelihood grid,0.18483399248203558,0.08951316526489674,0.08951316526489674,0.06630484926916581,0.17028929920656838,0.35354830497255824,0.007196806280442068,0.0,0.0,1.0
0.1,101,raw data NPE,0.17611698806285858,0.09245897829532623,0.08951316526489674,0.0645156268030405,0.15173374116420746,0.36060585379600524,0.005793795871761355,7.598616604395133e-05,0.010223913670807827,1.0
0.1,102,exact likelihood grid,0.14692857247650773,0.07766250760999387,0.07766250760999387,0.05704457270444448,0.12863089776681264,0.2995968242542582,0.002202290914682838,0.0,0.0,1.0
0.1,102,raw data NPE,0.18982061743736267,0.09247592091560364,0.07766250760999387,0.072114497423172,0.169339120388031,0.3707224979996682,0.008067743316829058,0.0018397275209240018,0.04295892292922263,1.0
0.1,103,exact likelihood grid,0.13679283591987473,0.07681269091332749,0.07681269091332749,0.055008324569272404,0.11549183571765223,0.2911855480801427,0.001353712775026824,0.0,0.0,1.0
0.1,103,raw data NPE,0.21592754125595093,0.1041206493973732,0.07681269091332749,0.078342529758811,0.19397980719804764,0.416108237206936,0.013439194821650203,0.006262301588627606,0.079201564811926,1.0
0.1,104,exact likelihood grid,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0009483869051258425,0.0,0.0,1.0
0.1,104,raw data NPE,0.17794394493103027,0.09124069660902023,0.0719893627567532,0.06647387780249119,0.1557757630944252,0.3595952898263931,0.006075258551411479,0.002222938985438535,0.04721579479659677,1.0
0.1,105,exact likelihood grid,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.004277644781421146,0.0,0.0,1.0
0.1,105,raw data NPE,0.21122461557388306,0.09495143592357635,0.0905391005398556,0.08357130587100983,0.19414878636598587,0.39519049376249316,0.012370915109558069,0.0020995557381438624,0.045896967976685854,1.0
0.1,106,exact likelihood grid,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.021600919417732244,0.0,0.0,1.0
0.1,106,raw data NPE,0.21496064960956573,0.1056404784321785,0.1182618892341895,0.07706702500581741,0.19301225244998932,0.4153507351875305,0.013215950958653345,0.00102475936292139,0.031990032388298756,1.0
