pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,exact likelihood grid,10,0.009423713058721557,0.002676138829893431,0.0,0.0,0.0,0.08329733409208846,0.0,0.9
0.07,raw data NPE,10,0.015314767715081553,0.002137103426234497,0.041424332006871706,0.0017159752822155359,0.03682613974297921,0.0926882989704609,0.012045510065344236,0.4
0.1,exact likelihood grid,10,0.007173723136286466,0.002167576291582279,0.0,0.0,0.0,0.08916697805945502,0.0,1.0
0.1,raw data NPE,10,0.011251923475944422,0.0019228090122673537,0.04122477397102002,0.00169948198896169,0.03549606492611932,0.09611586332321168,0.009603430450728465,1.0
0.3,exact likelihood grid,10,0.002501688590581702,0.0011609774919548752,0.0,0.0,0.0,0.12079388778405102,0.0,1.0
0.3,raw data NPE,10,0.0033125214830176525,0.0008802165066751497,0.027953502673398595,0.0007813983117117024,0.023155447285281704,0.11397958770394326,0.007597109318168964,1.0
0.5,exact likelihood grid,10,0.004643761298608042,0.0014570953344299942,0.0,0.0,0.0,0.11106791580243487,0.0,1.0
0.5,raw data NPE,10,0.00456966220163979,0.002172489907372454,0.022971574788620462,0.0005276932482691833,0.020134406814945025,0.10764798000454903,0.007590530337474158,1.0
0.65,exact likelihood grid,10,0.01701425042698116,0.007401891274415615,0.0,0.0,0.0,0.0894602047529582,0.0,0.8
0.65,raw data NPE,10,0.018050234657460716,0.00574127932641282,0.02981883105081787,0.00088916268523722,0.027774883453713768,0.09396404474973678,0.004543124940911294,0.7
0.68,exact likelihood grid,10,0.019986955726206714,0.007433167357673853,0.0,0.0,0.0,0.08791482146953435,0.0,0.7
0.68,raw data NPE,10,0.022260144812016533,0.0055604212078236865,0.028774836900101415,0.0008279912386274379,0.026451620193561627,0.09214678928256034,0.0047861271936428165,0.4
