step,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_step,best_source,grad_norm,learning_rate
1,41.96772766113281,44.14596276855469,44.14572900390625,44.1457275390625,0,raw,2.692324638366699,0.0001
100,48.3557014465332,44.128234130859376,44.14207885742187,44.128234130859376,100,raw,3.465097188949585,0.0001
200,44.44062805175781,44.1214375,44.1289677734375,44.1214375,200,raw,4.809811115264893,0.0001
300,40.47877883911133,44.11393090820312,44.10948645019531,44.10948645019531,300,ema,6.54102897644043,0.0001
400,46.28789520263672,44.176453125,44.09010998535156,44.09010998535156,400,ema,10.017593383789062,0.0001
500,37.97831726074219,44.27168798828125,44.08781506347656,44.08781506347656,500,ema,11.024273872375488,0.0001
600,43.56095504760742,44.46530712890625,44.119907470703126,44.08781506347656,500,ema,14.794458389282227,0.0001
700,35.33139419555664,44.76575463867187,44.2107041015625,44.08781506347656,500,ema,16.827796936035156,0.0001
800,37.712074279785156,45.16678759765625,44.37338537597656,44.08781506347656,500,ema,19.749238967895508,0.0001
900,38.60554504394531,45.577485717773435,44.617275512695315,44.08781506347656,500,ema,24.47212028503418,0.0001
1000,39.16222381591797,46.13939135742187,44.94714868164063,44.08781506347656,500,ema,26.95262336730957,0.0001
1100,39.902801513671875,46.6379580078125,45.35300317382813,44.08781506347656,500,ema,30.561830520629883,0.0001
1200,37.0379524230957,47.193987060546874,45.818029174804686,44.08781506347656,500,ema,32.769622802734375,0.0001
1300,38.800132751464844,47.48346337890625,46.29174243164063,44.08781506347656,500,ema,35.79269027709961,0.0001
1400,33.99089813232422,47.876257080078126,46.721095947265624,44.08781506347656,500,ema,36.463966369628906,0.0001
1500,34.06066131591797,48.17560229492187,47.13340600585938,44.08781506347656,500,ema,40.73666000366211,0.0001
1600,37.294883728027344,48.48489868164062,47.53361120605469,44.08781506347656,500,ema,49.490631103515625,0.0001
1700,33.31790542602539,48.886996948242185,47.92929321289063,44.08781506347656,500,ema,45.54179763793945,0.0001
1800,31.999774932861328,49.43819970703125,48.339178466796874,44.08781506347656,500,ema,52.7621955871582,0.0001
1900,28.206438064575195,49.689931274414064,48.72826086425781,44.08781506347656,500,ema,51.785709381103516,0.0001
2000,32.489234924316406,49.714051513671876,49.05522021484375,44.08781506347656,500,ema,63.66884231567383,0.0001
2100,29.527477264404297,50.400363525390624,49.36987829589844,44.08781506347656,500,ema,65.33590698242188,0.0001
2200,28.232261657714844,50.822234985351564,49.77193530273438,44.08781506347656,500,ema,69.45819091796875,0.0001
2300,23.63980484008789,51.464539794921876,50.21598449707031,44.08781506347656,500,ema,70.7441177368164,0.0001
2400,24.833988189697266,52.03801623535156,50.66461694335938,44.08781506347656,500,ema,80.69989013671875,0.0001
2500,23.32394790649414,52.66188781738281,51.17755920410156,44.08781506347656,500,ema,78.32423400878906,0.0001
2600,22.89593505859375,53.57916247558594,51.746643798828124,44.08781506347656,500,ema,88.79071044921875,0.0001
2700,21.174631118774414,54.01579943847656,52.38721850585937,44.08781506347656,500,ema,92.1722640991211,0.0001
2800,18.14959716796875,54.70795275878906,52.96543688964844,44.08781506347656,500,ema,89.54964447021484,0.0001
2900,18.72397804260254,55.63382836914062,53.637992431640626,44.08781506347656,500,ema,89.92071533203125,0.0001
3000,13.9586181640625,56.30579602050781,54.370696899414064,44.08781506347656,500,ema,82.28733825683594,0.0001
3100,15.972970962524414,56.846028076171876,55.01894873046875,44.08781506347656,500,ema,93.17827606201172,0.0001
3200,15.378171920776367,57.49348803710937,55.69118383789063,44.08781506347656,500,ema,99.54266357421875,0.0001
3300,15.435876846313477,58.483351318359375,56.43224108886719,44.08781506347656,500,ema,96.82926177978516,0.0001
3400,13.344993591308594,59.0414794921875,57.151673095703124,44.08781506347656,500,ema,91.33684539794922,0.0001
3500,12.318233489990234,59.944430908203124,57.87274462890625,44.08781506347656,500,ema,97.17562103271484,0.0001
3600,14.970084190368652,60.88057446289063,58.5946201171875,44.08781506347656,500,ema,99.65132141113281,0.0001
3700,12.225976943969727,61.690935546875,59.47581982421875,44.08781506347656,500,ema,95.43403625488281,0.0001
3800,11.328174591064453,62.28897705078125,60.25035375976562,44.08781506347656,500,ema,103.05402374267578,0.0001
3900,10.43751335144043,63.151834228515625,60.9908779296875,44.08781506347656,500,ema,98.14005279541016,0.0001
4000,9.616610527038574,63.45837719726563,61.7365322265625,44.08781506347656,500,ema,93.31507110595703,0.0001
4100,8.995155334472656,64.35333081054688,62.48133813476562,44.08781506347656,500,ema,89.78768920898438,0.0001
4200,8.338903427124023,65.138666015625,63.19656079101563,44.08781506347656,500,ema,88.09925079345703,0.0001
4300,7.385349750518799,65.81199438476563,63.912470703125,44.08781506347656,500,ema,87.58238983154297,0.0001
