pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,direct amortized raw-FSM pilot+score NPE,10,0.009184941377860793,0.0028244005894123084,0.04296020132605167,0.0018455788979748916,0.03465944053143549,0.07774866074323654,0.026492817919162616,0.6
0.07,exact likelihood grid,10,0.004201875284675827,0.0013027283865527904,0.0,0.0,0.0,0.05125584282407393,0.0,0.8
0.1,direct amortized raw-FSM pilot+score NPE,10,0.0077278115727348416,0.0033728267122871756,0.04119706441239206,0.0016971981161987809,0.03552810072686342,0.08224110901355744,0.024848602281779486,0.9
0.1,exact likelihood grid,10,0.005228980011130679,0.0025440943488036507,0.0,0.0,0.0,0.05739250673177795,0.0,0.9
0.3,direct amortized raw-FSM pilot+score NPE,10,0.010523553058830416,0.0051989658920564156,0.06935571497158532,0.004810215199219785,0.05671691532758386,0.11211530044674874,0.027136929809789784,0.9
0.3,exact likelihood grid,10,0.003993648872742281,0.0013295223865062856,0.0,0.0,0.0,0.08497837063695894,0.0,1.0
0.5,direct amortized raw-FSM pilot+score NPE,10,0.01709334461945451,0.007033104772587864,0.07486522108420732,0.00560480132798724,0.06483567847032426,0.11128866374492645,0.025393429609157137,0.9
0.5,exact likelihood grid,10,0.010048210548021987,0.004745592209719096,0.0,0.0,0.0,0.08746142550874705,0.0,0.8
0.65,direct amortized raw-FSM pilot+score NPE,10,0.014626210033511496,0.006603322975155234,0.0831769395260607,0.006918403268921959,0.0610309799563481,0.09326895251870156,0.028026175748635657,0.8
0.65,exact likelihood grid,10,0.003526455045842939,0.0013961767659270844,0.0,0.0,0.0,0.0652427767700659,0.0,1.0
0.68,direct amortized raw-FSM pilot+score NPE,10,0.02022176180014851,0.007650073625287281,0.0859633614494479,0.007389699511688426,0.06373343206661294,0.09159338101744652,0.030005666885573417,0.8
0.68,exact likelihood grid,10,0.005612242457301105,0.0015907966000281962,0.0,0.0,0.0,0.06219813876310443,0.0,1.0
