pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,-1.9839003734198866,interior,nan,0.16199571270321814,0.06640194018441756,0.06640194018441756,0.06978468227151578,0.1529565616581418,0.28477049275632427,0.008463211155773049,0.0,0.0,1.0
0.07,100,raw-block DeepSets FSM pilot+score NPE,-1.9839003734198866,interior,-0.6125127077102661,0.1374862790107727,0.06170662119984627,0.06640194018441756,0.06164556797593832,0.1267053708434105,0.25652458071708684,0.00455439785471986,0.0006007123399243793,0.0244427383593756,1.0
0.07,101,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.09846278465267115,0.04253039689880484,0.04253039689880484,0.05296990083240185,0.08699928946914476,0.18294581122671202,0.000810130110184332,0.0,0.0,1.0
0.07,101,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.2805478274822235,0.11866188794374466,0.053883135318756104,0.04253039689880484,0.05781647302210331,0.10403838008642197,0.2271724916994572,0.0023679793382495613,0.0004080037737634566,0.02026580278462285,1.0
0.07,102,exact likelihood grid,-2.265046852577959,interior,nan,0.16510238064512703,0.06752922338312285,0.06752922338312285,0.07129010812544923,0.1559038528623568,0.2899659043803365,0.00904446280437063,0.0,0.0,0.0
0.07,102,raw-block DeepSets FSM pilot+score NPE,-2.265046852577959,interior,1.2760095596313477,0.17719072103500366,0.07361417263746262,0.06752922338312285,0.07607449404895306,0.16639620065689087,0.3115594938397408,0.011489850676003974,0.00014612797338152278,0.012155129325031279,0.0
0.07,103,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.07965165727968436,0.029001650467625328,0.029001650467625328,0.05143126494630414,0.07080039005478354,0.13778779316340856,9.315448824448397e-05,0.0,0.0,1.0
0.07,103,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-2.309765338897705,0.07953305542469025,0.028465796262025833,0.029001650467625328,0.05370443388819694,0.07025718688964844,0.13622705861926082,9.087914573021602e-05,1.4066400008044638e-08,0.002687299548607597,1.0
0.07,104,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.09453071719306991,0.039342512984450566,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,0.0006017560860063753,0.0,0.0,1.0
0.07,104,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.5985079407691956,0.10098257660865784,0.0453411303460598,0.039342512984450566,0.0550593513995409,0.08647901192307472,0.19500421434640886,0.0009599200533113514,4.162648991851062e-05,0.006518424436138521,1.0
0.07,105,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.08354993845211786,0.03265792438233137,0.03265792438233137,0.05164456755267191,0.07361926699970214,0.14907108445202147,0.000183600832056182,0.0,0.0,1.0
0.07,105,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-1.339419960975647,0.08920638263225555,0.03674454614520073,0.03265792438233137,0.054040445014834404,0.07649901136755943,0.16552397683262826,0.00036888513381660754,3.199536076301358e-05,0.005722967127288584,1.0
0.07,106,exact likelihood grid,-1.9078127825248905,interior,nan,0.17584806459322777,0.06698662220706482,0.06698662220706482,0.0799102052248581,0.16800914249507562,0.2980203408674533,0.011203812778132117,0.0,0.0,0.0
0.07,106,raw-block DeepSets FSM pilot+score NPE,-1.9078127825248905,interior,0.11952728033065796,0.16610805690288544,0.06912201642990112,0.06698662220706482,0.07272312864661216,0.15565433353185654,0.2976750984787941,0.009236758601648264,9.486774980792781e-05,0.009751847818729053,0.0
0.07,107,exact likelihood grid,-1.550379405132877,interior,nan,0.13319266929319684,0.05639712889818245,0.05639712889818245,0.060259905678497844,0.123258903833983,0.24008654527187395,0.003993313452399342,0.0,0.0,1.0
