mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,pi,n
0.3175359905302412,0.5635033190055239,0.1939575000824805,0.4404060627222115,0.8999247591515296,0.8978972100650905,-0.02434131158438194,1.2795085415542622,-0.10319741339385509,1.1577056592456958,linear CS beta-conditioned DeepSets FSM,0.07,5000
0.2896347244859972,0.5381772240498451,0.17691483414076775,0.42061245124314584,0.9157961129882914,0.9135162550227796,-0.02434131158438194,1.2795085415542622,0.06563362908661366,1.303828012235017,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.07,5000
0.35287253185637485,0.5940307499249301,0.1553863506522348,0.3941907541435172,0.9217403648651964,0.9202784839856174,0.03004322276574969,1.506962666375793,-0.046468133172392845,1.3149895816815538,linear CS beta-conditioned DeepSets FSM,0.1,5000
0.3004917487346738,0.5481712768238353,0.13232063145111514,0.36375902937400073,0.9334859082494152,0.9326839517208023,0.03004322276574969,1.506962666375793,0.0936737293586135,1.4729949837464975,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.1,5000
0.4729753702300692,0.6877320482790293,0.09221768633477422,0.3036736510380415,0.9647241259266437,0.9619313187266478,-0.002316446433016074,2.264707675256321,-0.14483197352290153,1.87305842941026,linear CS beta-conditioned DeepSets FSM,0.3,5000
0.29357881515092105,0.5418291383369125,0.05724010338414263,0.23924904050830095,0.9768665203179289,0.976658179372992,-0.002316446433016074,2.264707675256321,-0.04281915393769741,1.9727665476278717,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.3,5000
0.6456422979309576,0.8035186979348754,0.11434384104377932,0.3381476615973846,0.9489044661468663,0.9464082650658162,-0.026047304503102275,2.376236151209922,0.12278617222309113,2.00741288109063,linear CS beta-conditioned DeepSets FSM,0.5,5000
0.39952208229485847,0.6320775919891943,0.07075572591479773,0.26599948480175245,0.9713509286150297,0.9692685552293814,-0.026047304503102275,2.376236151209922,0.111887505787611,2.0599724073843073,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.5,5000
0.8425528780451,0.9179067915889391,0.1843970021829148,0.42941472050095675,0.917050041928387,0.9061023426555259,-0.04221264567260457,2.137576444789795,0.23683018961846827,1.7650926066885366,linear CS beta-conditioned DeepSets FSM,0.65,5000
0.5216958064507367,0.7222851282220455,0.11417579272189568,0.3378990865952373,0.948047248784744,0.9430736222934004,-0.04221264567260457,2.137576444789795,0.1545040299475193,1.883126594520814,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.65,5000
0.7941395780443045,0.8911450937105049,0.182680904048245,0.4274118669951093,0.9103579555899955,0.9089346601853181,0.003697285622903527,2.084979764309163,0.09828560041487217,1.6962072016753689,linear CS beta-conditioned DeepSets FSM,0.68,5000
0.5063310547077142,0.7115694307006971,0.11647450571534955,0.3412836147771374,0.9438685227834668,0.9417232791343169,0.003697285622903527,2.084979764309163,0.12767421698272227,1.8389713932595768,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.68,5000
