method,step,stage,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_source,lr_model,lr_gate,lr_rho,grad_norm
linear CS beta-conditioned DeepSets FSM,0,joint,47.433209838867185,47.433209838867185,47.433209838867185,47.433209838867185,raw,0.0001,,,
linear CS beta-conditioned DeepSets FSM,1,joint,45.70021057128906,47.04103173828125,47.431197509765624,47.04103173828125,raw,0.0001,,,201.57745361328125
linear CS beta-conditioned DeepSets FSM,100,joint,46.42231750488281,42.20960888671875,44.824694702148435,42.20960888671875,raw,0.0001,,,40.6401252746582
linear CS beta-conditioned DeepSets FSM,200,joint,42.347938537597656,41.835745849609374,43.22070458984375,41.835745849609374,raw,0.0001,,,54.31686782836914
linear CS beta-conditioned DeepSets FSM,300,joint,40.194583892822266,41.611712890625,42.396940307617186,41.611712890625,raw,0.0001,,,18.698652267456055
linear CS beta-conditioned DeepSets FSM,400,joint,44.22670364379883,41.55133764648438,41.949807495117184,41.55133764648438,raw,0.0001,,,62.009735107421875
linear CS beta-conditioned DeepSets FSM,500,joint,37.918487548828125,41.47104052734375,41.70266821289062,41.47104052734375,raw,0.0001,,,64.20972442626953
linear CS beta-conditioned DeepSets FSM,600,joint,45.731895446777344,41.412948120117186,41.55343139648438,41.412948120117186,raw,0.0001,,,21.177616119384766
linear CS beta-conditioned DeepSets FSM,700,joint,36.67081832885742,41.3517802734375,41.45916455078125,41.3517802734375,raw,0.0001,,,19.692707061767578
linear CS beta-conditioned DeepSets FSM,800,joint,39.28177261352539,41.33357006835938,41.40543420410156,41.33357006835938,raw,0.0001,,,30.92124366760254
linear CS beta-conditioned DeepSets FSM,900,joint,39.475948333740234,41.32648803710938,41.36097302246094,41.32648803710938,raw,0.0001,,,18.30754280090332
linear CS beta-conditioned DeepSets FSM,1000,joint,41.30877685546875,41.311820068359374,41.32316296386719,41.311820068359374,raw,0.0001,,,75.25499725341797
linear CS beta-conditioned DeepSets FSM,1100,joint,43.93507766723633,41.25359436035156,41.29674157714844,41.25359436035156,raw,0.0001,,,79.09554290771484
linear CS beta-conditioned DeepSets FSM,1200,joint,42.2440299987793,41.32962133789062,41.26982202148437,41.25359436035156,raw,0.0001,,,66.70132446289062
linear CS beta-conditioned DeepSets FSM,1300,joint,39.24473571777344,41.28737060546875,41.251671142578125,41.251671142578125,ema,0.0001,,,43.7764892578125
linear CS beta-conditioned DeepSets FSM,1400,joint,39.29656219482422,41.25042700195313,41.23698034667969,41.23698034667969,ema,0.0001,,,20.19338035583496
