method,pi,n,sigma_q,target_variance,fsm_mse,fsm_relative_mse
linear CS beta-conditioned DeepSets FSM,0.07,1000,0.15,44.44444444444444,44.50731658935547,1.0014146232604981
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.07,1000,0.15,44.44444444444444,44.40446853637695,0.9991005420684815
linear CS beta-conditioned DeepSets FSM,0.1,1000,0.15,44.44444444444444,42.1723747253418,0.9488784313201905
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.1,1000,0.15,44.44444444444444,42.32761764526367,0.9523713970184327
linear CS beta-conditioned DeepSets FSM,0.2,1000,0.15,44.44444444444444,40.4149284362793,0.9093358898162842
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.2,1000,0.15,44.44444444444444,40.280906677246094,0.9063204002380372
linear CS beta-conditioned DeepSets FSM,0.3,1000,0.15,44.44444444444444,44.09085464477539,0.9920442295074463
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.3,1000,0.15,44.44444444444444,43.72832107543945,0.9838872241973877
linear CS beta-conditioned DeepSets FSM,0.4,1000,0.15,44.44444444444444,37.4688606262207,0.8430493640899659
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.4,1000,0.15,44.44444444444444,37.62179183959961,0.8464903163909913
linear CS beta-conditioned DeepSets FSM,0.5,1000,0.15,44.44444444444444,39.02436828613281,0.8780482864379883
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.5,1000,0.15,44.44444444444444,38.87262725830078,0.8746341133117677
linear CS beta-conditioned DeepSets FSM,0.6,1000,0.15,44.44444444444444,39.73960494995117,0.8941411113739014
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.6,1000,0.15,44.44444444444444,39.45634078979492,0.8877676677703857
linear CS beta-conditioned DeepSets FSM,0.65,1000,0.15,44.44444444444444,40.03232955932617,0.9007274150848389
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.65,1000,0.15,44.44444444444444,39.81132125854492,0.8957547283172608
linear CS beta-conditioned DeepSets FSM,0.68,1000,0.15,44.44444444444444,42.239131927490234,0.9503804683685303
shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],0.68,1000,0.15,44.44444444444444,41.7023811340332,0.9383035755157471
