pi_true,seed,method,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,-1.9839004465880161,0.1209036617851989,interior,nan,0.16199571270321814,0.06640194018441756,0.06978468227151578,0.1529565616581418,0.28477049275632427,0.008463211155773049,0.0,0.0,1.0
0.07,100,pilot-only NPE,-1.9839004278182983,0.1209036637801565,interior,nan,0.19704937934875488,0.09659876674413681,0.06980961151421071,0.1794476881623268,0.3785138711333275,0.016141544792903823,0.0012287595452964155,0.03512161118723428,1.0
0.07,100,linear FSM pilot+score NPE,-1.9839004278182983,0.1209036637801565,interior,-0.586942732334137,0.1321399211883545,0.05835524573922157,0.059374043717980385,0.12179544568061829,0.24171199426054954,0.0038613698052949066,0.000891368286979004,0.02978908840785802,1.0
0.07,100,shared-raw-gate FSM pilot+score NPE,-1.9839004278182983,0.1209036637801565,interior,-0.6942310333251953,0.1305016428232193,0.060627736151218414,0.05795911755412817,0.1179746612906456,0.24706979244947438,0.0036604487843084027,0.0009918764376062499,0.031427365302993664,1.0
0.07,101,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.09846278465267115,0.04253039689880484,0.05296990083240185,0.08699928946914476,0.18294581122671202,0.000810130110184332,0.0,0.0,1.0
0.07,101,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12563365697860718,0.06505884230136871,0.057798159308731556,0.10712617635726929,0.259829142689705,0.0030951037888133264,0.0007382563029523162,0.02723756358957404,1.0
0.07,101,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.5336325168609619,0.1337926685810089,0.060299381613731384,0.05926056001335383,0.12221257388591766,0.2525873795151711,0.004069504564686441,0.0012482006983898187,0.03539658457747215,1.0
0.07,101,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.6619526743888855,0.12879714369773865,0.05876551568508148,0.059359907172620296,0.11530562490224838,0.24293113574385652,0.003457104107012527,0.0009201733386750683,0.030401043206812084,1.0
0.07,102,exact likelihood grid,-2.26504689616719,0.09405942958765552,interior,nan,0.16510238064512703,0.06752922338312285,0.07129010812544923,0.1559038528623568,0.2899659043803365,0.00904446280437063,0.0,0.0,0.0
0.07,102,pilot-only NPE,-2.2650468349456787,0.09405943480447859,interior,nan,0.1829182207584381,0.09208550304174423,0.06657638400793076,0.16434206813573837,0.3543701201677324,0.012750524579251361,0.00031740415894306425,0.020228312051222906,1.0
