pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,w1_to_exact,avg_post_sd,coverage90
0.07,exact likelihood grid,10,0.004201875284675827,0.0013027283865527904,0.0,0.0,0.05125584282407393,0.8
0.07,linear FSM pilot+score NPE,10,0.005115456137199171,0.0012785154578832177,0.020730346162086757,0.017826802588422626,0.059171607717871666,0.8
0.07,pilot-only NPE,10,0.009312027610952456,0.00265129771371168,0.04179290720706253,0.03436655775737418,0.07957349717617035,0.8
0.07,shared-raw-gate FSM pilot+score NPE,10,0.00461900020194424,0.0011588067079950067,0.01906314046424558,0.016365548695059434,0.05831499099731445,0.9
0.1,exact likelihood grid,10,0.005228980011130679,0.0025440943488036507,0.0,0.0,0.05739250673177795,0.9
0.1,linear FSM pilot+score NPE,10,0.005211526675199749,0.0022937076285971733,0.02102586515949029,0.018174290577012264,0.0638420008122921,0.9
0.1,pilot-only NPE,10,0.007704351857324802,0.0032066960701883094,0.04140706155083121,0.03644901897056456,0.08386541157960892,0.9
0.1,shared-raw-gate FSM pilot+score NPE,10,0.0050789236062260355,0.002191595980156149,0.02123271298599635,0.017429251990131015,0.06333732344210148,0.9
0.3,exact likelihood grid,10,0.003993648872742281,0.0013295223865062856,0.0,0.0,0.08497837063695894,1.0
0.3,linear FSM pilot+score NPE,10,0.006253023393301578,0.0018964478687510994,0.031620144625596154,0.02900945042118181,0.09073758274316787,1.0
0.3,pilot-only NPE,10,0.009818801240396361,0.005080880728283929,0.06762721518399369,0.055042769533145866,0.11243561208248139,0.9
0.3,shared-raw-gate FSM pilot+score NPE,10,0.00571428530484881,0.0016440306460477085,0.024119002412144194,0.020709574582347373,0.08946162983775138,1.0
0.5,exact likelihood grid,10,0.010048210548021987,0.004745592209719096,0.0,0.0,0.08746142550874705,0.8
0.5,linear FSM pilot+score NPE,10,0.010042713010875826,0.00488180637895933,0.020062958407496414,0.015936860624181107,0.08939467072486877,0.9
0.5,pilot-only NPE,10,0.016953390009163183,0.006879889933921413,0.0751801732737061,0.06518797546745247,0.11289473697543144,0.9
0.5,shared-raw-gate FSM pilot+score NPE,10,0.010545339713707058,0.005319856967019274,0.01714924652629497,0.014030944778941748,0.0914667472243309,0.9
0.65,exact likelihood grid,10,0.003526455045842939,0.0013961767659270844,0.0,0.0,0.0652427767700659,1.0
0.65,linear FSM pilot+score NPE,10,0.004015401931517177,0.0015413283406629963,0.017301173485384135,0.01404723944149891,0.06397594399750232,1.0
0.65,pilot-only NPE,10,0.01491574249439769,0.006803837417544752,0.08330882536390334,0.059561014869668825,0.09299289509654045,0.8
0.65,shared-raw-gate FSM pilot+score NPE,10,0.003921853512874096,0.001509044312537211,0.010135875777708168,0.009157255752223425,0.06683336235582829,1.0
0.68,exact likelihood grid,10,0.005612242457301105,0.0015907966000281962,0.0,0.0,0.06219813876310443,1.0
0.68,linear FSM pilot+score NPE,10,0.006355015864527388,0.0018652516450925751,0.01650592592333984,0.013388973993807582,0.0612783458083868,0.8
0.68,pilot-only NPE,10,0.020145806503091047,0.007911477109772143,0.08614824002792675,0.06271493701303439,0.09055998772382737,0.8
0.68,shared-raw-gate FSM pilot+score NPE,10,0.006259643752577421,0.0016942431301357355,0.009986165279142487,0.00869969421056487,0.06384790241718293,0.8
