pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,100,exact likelihood grid,0.16199571270321814,0.06640194018441756,0.06640194018441756,0.06978468227151578,0.1529565616581418,0.28477049275632427,0.008463211155773049,0.0,0.0,1.0
0.07,100,raw data NPE,0.2678546607494354,0.12049703299999237,0.06640194018441756,0.11168298348784447,0.24352895468473434,0.5140470296144486,0.03914646678027418,0.011206116881451731,0.10592567463512985,0.0
0.07,101,exact likelihood grid,0.09846278465267115,0.04253039689880484,0.04253039689880484,0.05296990083240185,0.08699928946914476,0.18294581122671202,0.000810130110184332,0.0,0.0,1.0
0.07,101,raw data NPE,0.190895676612854,0.11567014455795288,0.04253039689880484,0.06759686470031738,0.15941225737333298,0.4461087867617608,0.014615764623679773,0.008543839516122836,0.09249959205201382,1.0
0.07,102,exact likelihood grid,0.16510238064512703,0.06752922338312285,0.06752922338312285,0.07129010812544923,0.1559038528623568,0.2899659043803365,0.00904446280437063,0.0,0.0,0.0
0.07,102,raw data NPE,0.26867207884788513,0.12521310150623322,0.06752922338312285,0.10927050337195396,0.24445220082998276,0.5219036757946015,0.03947059491374028,0.010726682385810395,0.10363648412564302,0.0
0.07,103,exact likelihood grid,0.07965165727968436,0.029001650467625328,0.029001650467625328,0.05143126494630414,0.07080039005478354,0.13778779316340856,9.315448824448397e-05,0.0,0.0,1.0
0.07,103,raw data NPE,0.16201144456863403,0.09508616477251053,0.029001650467625328,0.060891926474869254,0.14006779342889786,0.3516436442732811,0.008466105931606812,0.0067831345622810365,0.08242614517077276,1.0
0.07,104,exact likelihood grid,0.09453071719306991,0.039342512984450566,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,0.0006017560860063753,0.0,0.0,1.0
0.07,104,raw data NPE,0.20118284225463867,0.10213159769773483,0.039342512984450566,0.07007660008966923,0.184959776699543,0.39669950902462014,0.01720893810200541,0.011374675780148504,0.10671868540017451,0.0
0.07,105,exact likelihood grid,0.08354993845211786,0.03265792438233137,0.03265792438233137,0.05164456755267191,0.07361926699970214,0.14907108445202147,0.000183600832056182,0.0,0.0,1.0
0.07,105,raw data NPE,0.1531551629304886,0.09848342090845108,0.03265792438233137,0.0597241273149848,0.12763044983148575,0.3702858492732049,0.006914781121996102,0.004844887274684379,0.06967174809383869,1.0
0.07,106,exact likelihood grid,0.17584806459322777,0.06698662220706482,0.06698662220706482,0.0799102052248581,0.16800914249507562,0.2980203408674533,0.011203812778132117,0.0,0.0,0.0
