pi_true,method,n_seeds,pi_avg_mse,pi_mse_se,rmse_mean_to_exact,mean_mse_to_exact,w1_to_exact,avg_post_sd,sd_abs_err_to_exact,coverage90
0.07,exact likelihood grid,10,0.004201875284675827,0.0013027283865527904,0.0,0.0,0.0,0.05125584282407393,0.0,0.8
0.07,raw data NPE,10,0.02725870962053656,0.005995235807792126,0.10495900368572905,0.011016392454700884,0.1000976995512102,0.11458690389990807,0.06333106107583412,0.4
0.1,exact likelihood grid,10,0.005228980011130679,0.0025440943488036507,0.0,0.0,0.0,0.05739250673177795,0.0,0.9
0.1,raw data NPE,10,0.019147747045156892,0.0045065357014670085,0.08369899812044011,0.007005522286365437,0.08014676957169561,0.11690230667591095,0.059509799944133,0.7
0.3,exact likelihood grid,10,0.003993648872742281,0.0013295223865062856,0.0,0.0,0.0,0.08497837063695894,0.0,1.0
0.3,raw data NPE,10,0.005016625558318411,0.0012887271139111185,0.06561008561426884,0.004304683334311688,0.06413073540645123,0.13153262957930564,0.046554258942346695,1.0
0.5,exact likelihood grid,10,0.010048210548021987,0.004745592209719096,0.0,0.0,0.0,0.08746142550874705,0.0,0.8
0.5,raw data NPE,10,0.010548320188690407,0.003180985237664233,0.07681437038762491,0.005900447498047227,0.06458054635793445,0.12387072741985321,0.03640930191110617,1.0
0.65,exact likelihood grid,10,0.003526455045842939,0.0013961767659270844,0.0,0.0,0.0,0.0652427767700659,0.0,1.0
0.65,raw data NPE,10,0.02582497539175963,0.009333493139661274,0.1201379151546354,0.014433118657702373,0.09529741455803119,0.10762604027986526,0.04238326350979937,0.7
0.68,exact likelihood grid,10,0.005612242457301105,0.0015907966000281962,0.0,0.0,0.0,0.06219813876310443,0.0,1.0
0.68,raw data NPE,10,0.03522101905461284,0.010987482111332358,0.12453606712369493,0.01550923201463745,0.10217585289416835,0.10766970887780189,0.04547157011469747,0.3
