method,family,stage1_seed,n_test,posterior_mean_rmse_to_exact,posterior_mean_mae_to_exact,posterior_sd_mae_to_exact,interval_endpoint_mae_to_exact,interval_width_mae_to_exact,w1_to_exact
Jiang official Round 1 summed-block score + shared NPE,jiang_round1,20260731,100,0.03272189242745694,0.026031430111199915,0.009583757805850406,0.02587234614670359,0.032382203046097305,0.02674425243213436
ours linear full-dataset score [stage1 seed 20260709] + shared NPE,ours_linear,20260709,100,0.025041430553435627,0.01976253312072498,0.004978320220737155,0.019052759080039335,0.016560493434441468,0.020242220679040274
ours linear full-dataset score [stage1 seed 20260710] + shared NPE,ours_linear,20260710,100,0.026759018061552873,0.020626420199155476,0.00505861353459383,0.01964239008728905,0.016721338554467422,0.021103729042453643
ours linear full-dataset score [stage1 seed 20260711] + shared NPE,ours_linear,20260711,100,0.025644208114309452,0.02025911377536002,0.0048707854758547305,0.019083671657496956,0.015890482049366158,0.0207337732015737
ours linear full-dataset score [stage1 seed 20260712] + shared NPE,ours_linear,20260712,100,0.024676214374086146,0.01926550095380357,0.005001914610659498,0.018488594117837324,0.016857764865090653,0.01976267091257402
ours linear full-dataset score [stage1 seed 20260713] + shared NPE,ours_linear,20260713,100,0.024576220235179514,0.01967438349504759,0.004847419455296843,0.019141802642498863,0.017160981922821218,0.020117375831031476
ours nonlinear-gate full-dataset score [stage1 seed 20260709] + shared NPE,ours_nonlinear,20260709,100,0.02224884808765169,0.017876210679341108,0.0046697590120371325,0.017302083363299317,0.015838925277689726,0.018285119617262542
ours nonlinear-gate full-dataset score [stage1 seed 20260710] + shared NPE,ours_nonlinear,20260710,100,0.02309012679989926,0.01822676276178521,0.0045801449371297084,0.017430581132456227,0.015211304132956602,0.018611372935850426
ours nonlinear-gate full-dataset score [stage1 seed 20260711] + shared NPE,ours_nonlinear,20260711,100,0.021987666374055453,0.01765847715378801,0.004596227613565587,0.016920332410064718,0.015338528627310047,0.017987255593601145
ours nonlinear-gate full-dataset score [stage1 seed 20260712] + shared NPE,ours_nonlinear,20260712,100,0.020618573635597322,0.016522538387155356,0.004277614797750843,0.016037047436057623,0.014417940396214902,0.016869478821815845
ours nonlinear-gate full-dataset score [stage1 seed 20260713] + shared NPE,ours_nonlinear,20260713,100,0.021482641950121617,0.01728054185206195,0.0045363295031618555,0.016666532336361155,0.01525883795110521,0.017616323026307616
shared data-only pilot + NPE,pilot_only,,100,0.06808201917673709,0.05547169244949627,0.022329665156784615,0.05544356468758277,0.07360494460054522,0.0566710605372672
